SITE_CODE,MSMT_DATE,Reference_Point_Elevation,Ground_Surface_Elevation,Distance_from_RP_to_WS,Groundwater_Elevation,Ground_Surface_to_Water Surface,WLM_QA_DESC,SUBMITTING_ORG_NAME,COLLECTING_ORG_NAME,MSMT_CMT
379103N1215994W001,09/21/2011 00:00:00,4.376,3.776,11,-6.624,10.4,,Diablo Water District,Town of Discovery Bay,
379103N1215994W001,11/29/2011 00:00:00,4.306,3.776,10.2,-5.894,9.67,,Diablo Water District,Town of Discovery Bay,
379103N1215994W001,03/07/2012 00:00:00,4.306,3.776,8.67,-4.364,8.14,,Diablo Water District,Town of Discovery Bay,
379103N1215994W001,04/06/2012 00:00:00,4.38,3.78,8.45,-4.07,7.85,,Diablo Water District,Town of Discovery Bay,
379103N1215994W001,08/10/2012 00:00:00,4.38,3.78,10.59,-6.21,9.99,,Diablo Water District,Town of Discovery Bay,
379103N1215994W001,03/19/2013 00:00:00,4.38,3.78,7.58,-3.2,6.98,,Diablo Water District,Town of Discovery Bay,
379103N1215994W001,09/27/2013 00:00:00,4.306,3.776,11.44,-7.134,10.91,,Diablo Water District,Town of Discovery Bay,
379103N1215994W001,11/25/2013 00:00:00,4.306,3.776,11.41,-7.104,10.88,,Diablo Water District,Town of Discovery Bay,
379103N1215994W001,03/18/2014 00:00:00,4.38,3.78,8.4,-4.02,7.8,,Diablo Water District,Diablo Water District,
379103N1215994W001,10/16/2014 00:00:00,4.38,3.78,10.27,-5.89,9.67,,Diablo Water District,Diablo Water District,
379103N1215994W001,03/19/2015 00:00:00,4.31,4.31,7.4,-3.09,7.4,,Diablo Water District,Diablo Water District,
379103N1215994W001,06/17/2015 00:00:00,4.31,4.31,9.07,-4.76,9.07,,Diablo Water District,Diablo Water District,
379103N1215994W001,10/16/2015 00:00:00,4.31,4.31,10.21,-5.9,10.21,,Diablo Water District,Diablo Water District,
379103N1215994W001,03/11/2016 00:00:00,4.31,4.31,6.98,-2.67,6.98,,Diablo Water District,Diablo Water District,
379103N1215994W001,10/21/2016 00:00:00,4.31,4.31,10.05,-5.74,10.05,,Diablo Water District,Diablo Water District,
379103N1215994W001,03/21/2017 00:00:00,4.31,4.31,6.04,-1.73,6.04,,Diablo Water District,Diablo Water District,
379103N1215994W001,10/25/2017 00:00:00,4.31,4.31,10.82,-6.51,10.82,,Diablo Water District,Diablo Water District,
379103N1215994W001,03/22/2018 00:00:00,4.31,4.31,9.38,-5.07,9.38,,Diablo Water District,Diablo Water District,
379103N1215994W001,10/17/2018 00:00:00,4.31,4.31,10.69,-6.38,10.69,,Diablo Water District,Diablo Water District,
379103N1215994W001,03/15/2019 00:00:00,4.31,4.31,7.06,-2.75,7.06,,Diablo Water District,Diablo Water District,
379103N1215994W001,10/16/2019 00:00:00,4.31,4.31,10.47,-6.16,10.47,,Diablo Water District,Diablo Water District,
379103N1215994W001,03/19/2020 00:00:00,4.31,4.31,8.26,-3.95,8.26,,Diablo Water District,Diablo Water District,
379103N1215994W001,10/16/2020 00:00:00,4.31,4.31,10.61,-6.3,10.61,,Diablo Water District,Diablo Water District,
379103N1215994W001,03/16/2021 00:00:00,4.31,4.31,8.64,-4.33,8.64,,Diablo Water District,Diablo Water District,
379103N1215994W001,10/20/2021 00:00:00,4.31,4.31,11.43,-7.12,11.43,,Diablo Water District,Diablo Water District,
379103N1215994W001,03/23/2022 00:00:00,4.31,4.31,8.2,-3.89,8.2,,City of Brentwood GSA,City of Brentwood GSA,
379103N1215994W001,11/03/2022 00:00:00,4.31,4.31,11.71,-7.4,11.71,,City of Brentwood GSA,City of Brentwood GSA,
379103N1215994W001,04/03/2023 00:00:00,4.31,4.31,6.49,-2.18,6.49,,City of Brentwood GSA,City of Brentwood GSA,
379103N1215994W001,11/16/2023 00:00:00,4.31,4.31,10.13,-5.82,10.13,,Diablo Water District,Diablo Water District,Changed DWR Program from CASGEM to SGMA
